zipcode,Population,Population Density,Housing Units,Median Home Value,Land Area,Water Area,Occupied Housing Units,Median Household Income,Median Age,Male Median Age,Female Median Age,Male Population,Female Population,White Population,Black or African American Population,American Indian or Alaskan Native Population,Asian Population,Native Hawaiian and Other Pacific Islander Population,Other Race Population,Two or More Races Population,Husband and Wife Family Households,Single Guardian Households,Singles Households,Singles with Roommate Households,Households without Kids,Households with Kids,In Occupied Housing Units,Correctional Facilities,Juvenile Facilities,Nursing Facilities,Other Institutional,College Student Housing,Military Quarters,Other Noninstitutional,Owned House with Mortgage,Owned House Entirely,House Occupied by Renter,Households Vacant,Rented Studio Apartment,Rented 1 Bedroom,Rented 2 Bedroom,Rented 3+ Bedroom,Worked Full-time,Worked Part-time,No Earnings,"Commute in Car, Truck, or Van",Commute in Public Transportation,Commute in Taxicab,Commute in Motorcycle,"Commute in Bicycle, Walking, Other",Worked at Home,Less than High School Diploma,High School Graduate,Associate's degree,Master's degree,Professional school degree,Doctorate degree,Enrolled in Public School,Enrolled in Private School,Not Enrolled in School
98108,"22,374","2,989","8,194","$326,500",7.48,0.37,"7,643","$52,232",37,36,37,"11,495","10,879","6,443","3,361",233,"9,360",184,"1,550","1,243","3,184","1,654","1,935",870,"5,088","2,555","22,017",0,0,103,42,0,0,212,"3,099","1,194","3,350",551,124,664,"1,404","1,290","8,005","4,773","5,623","8,301","2,241",0,95,532,345,"3,876","6,704","1,027",933,218,125,"3,511",419,927
98040,"22,699","3,591","9,930","$864,000",6.32,6.79,"9,109","$126,359",46,45,47,"11,046","11,653","17,677",286,51,"3,615",26,158,886,"5,671",861,"2,198",379,"6,058","3,051","22,631",0,0,43,0,0,0,25,"4,427","2,168","2,514",821,147,804,940,656,"6,994","4,548","6,794","8,002",761,0,17,403,975,291,"2,975",789,"3,414","1,780",605,"3,428","1,370",151
98148,"10,010","3,194","4,588","$255,900",3.13,0.00,"4,230","$45,424",37,35,38,"5,048","4,962","6,148",842,146,972,207,971,724,"1,547",788,"1,520",375,"2,975","1,255","9,961",0,0,12,0,0,0,37,"1,418",401,"2,411",358,91,739,"1,166",375,"3,704","2,117","2,500","4,450",363,12,0,153,165,"1,299","3,665",605,224,33,54,"1,570",178,307
98010,"5,025",334,"2,017","$319,300",15.05,1.02,"1,846","$85,398",41,41,40,"2,512","2,513","4,617",58,40,64,13,67,166,"1,177",228,311,130,"1,133",713,"5,025",0,0,0,0,0,0,0,"1,241",332,273,171,0,0,80,64,"1,675","1,000","1,154","2,066",78,0,0,47,237,225,"2,025",284,184,23,57,741,130,135
98030,"33,769","4,741","12,739","$251,700",7.12,0.09,"11,900","$51,446",32,31,34,"16,832","16,937","18,464","4,201",256,"5,860",456,"2,167","2,365","5,382","2,612","3,055",851,"7,154","4,746","33,424",130,0,43,0,0,0,172,"5,039",867,"5,994",839,110,"1,805","2,303","1,818","9,800","6,314","8,196","11,879",857,13,0,251,684,"3,728","9,580","1,960",927,111,58,"6,016",555,"1,427"
98178,"24,092","4,966","9,290","$283,100",4.85,1.02,"8,668","$58,707",38,37,39,"11,857","12,235","7,196","7,083",205,"6,945",253,667,"1,743","3,629","2,091","2,256",692,"5,717","2,951","23,939",0,0,4,0,0,0,149,"4,332","1,340","2,996",622,35,900,"1,236","1,399","8,460","4,904","6,333","9,818","1,062",0,44,359,468,"2,794","8,477","1,386",819,399,115,"3,324",525,520
98032,"33,853","2,024","14,451","$234,700",16.72,0.29,"13,393","$48,853",33,32,33,"17,190","16,663","18,178","3,834",453,"3,981","1,012","4,255","2,140","4,861","2,691","4,580","1,261","9,095","4,298","32,901",649,17,36,0,0,0,250,"4,449","1,284","7,660","1,058",226,"2,453","3,300","1,175","10,656","6,984","8,683","12,781","1,178",0,20,718,308,"3,726","10,675","2,200",890,120,114,"5,449",343,"1,165"
98109,"20,715","10,361","13,906","$451,400",2.00,0.42,"12,419","$77,034",34,35,34,"10,450","10,265","16,826",843,140,"1,696",59,262,889,"2,756",536,"6,924","2,203","11,362","1,057","19,991",0,0,135,0,0,0,589,"3,123",821,"8,475","1,487","1,550","4,557","2,133",400,"11,236","5,639","3,398","8,113","3,130",16,39,"3,038","1,004",344,"4,217","1,300","2,841","1,097",468,794,447,155
98126,"20,698","6,732","9,805","$358,100",3.07,0.69,"9,190","$66,408",38,37,39,"9,827","10,871","14,385","2,439",228,"1,844",147,531,"1,124","3,442","1,350","3,218","1,180","6,755","2,435","20,333",1,0,272,53,0,0,39,"4,387",989,"3,814",615,152,"1,263","1,415","1,000","7,967","4,415","4,675","7,553","2,110",0,21,426,754,"1,260","5,498","1,272","1,780",514,270,"2,138",459,356
98031,"36,581","4,877","12,846","$271,500",7.50,0.10,"12,242","$63,709",35,34,36,"18,133","18,448","19,221","3,793",246,"8,344",608,"2,158","2,211","6,598","2,513","2,359",772,"7,127","5,115","36,237",0,0,95,0,0,0,249,"6,525","1,457","4,260",604,108,811,"2,039","1,577","11,436","7,307","8,595","14,375",956,16,45,399,789,"3,323","11,043","1,920","1,461",181,204,"7,067",378,966
98070,"10,624",288,"5,552","$413,400",36.92,12.83,"4,606","$72,774",50,49,51,"5,150","5,474","9,808",90,61,175,5,131,354,"2,364",536,"1,284",422,"3,406","1,200","10,537",0,0,70,3,0,0,14,"2,574","1,024","1,008",946,26,280,368,333,"3,257","3,434","2,870","3,635",977,0,0,531,700,365,"2,836",636,"1,610",298,250,"1,522",230,86
98022,"20,987",52,"9,179","$300,800",405.93,2.45,"8,296","$66,295",42,41,43,"10,416","10,571","19,212",91,264,177,35,671,537,"4,517","1,187","2,072",520,"5,652","2,644","20,830",21,0,76,0,0,0,60,"4,498","1,591","2,207",883,140,550,884,636,"6,751","4,961","5,608","9,058",137,0,32,271,515,"1,412","9,080","1,428",586,270,90,"3,240",413,500
98188,"23,111","3,062","9,959","$226,800",7.55,0.29,"9,263","$40,815",35,35,36,"11,866","11,245","10,789","4,325",289,"3,449",832,"2,032","1,395","3,378","1,867","3,108",910,"6,542","2,721","23,034",0,0,11,0,0,0,66,"3,088","1,335","4,840",696,334,"1,905","2,253",669,"7,143","5,522","6,189","8,998","1,248",0,3,539,299,"2,141","9,020","1,382",639,115,99,"3,221",238,571
98002,"31,647","4,423","13,480","$167,100",7.15,0.13,"12,495","$43,568",35,34,36,"15,564","16,083","22,271","1,651",816,"1,394",779,"2,931","1,805","4,665","2,772","3,924","1,134","8,382","4,113","31,247",0,10,215,0,0,0,175,"3,970","1,992","6,533",985,119,"1,957","3,222","1,350","9,534","7,439","9,023","12,319",986,84,65,618,361,"3,924","13,231","1,922",587,149,20,"5,325",243,"1,112"
98039,"2,971","2,059","1,163","$1,000,001",1.44,4.30,"1,062","$183,833",46,45,46,"1,468","1,503","2,479",9,7,347,2,14,113,777,89,172,24,638,424,"2,971",0,0,0,0,0,0,0,567,379,116,101,0,5,4,107,807,385,953,890,34,0,0,40,57,12,290,68,388,146,51,555,355,32
